,state,feature_id,dam_name,stream_name,watershed_huc2,region,latitude,longitude,StrOrder,TotDA.SqKm,AvgAnnualQ.CS,dam_length_m,Removal_year,Built_year,DamPurpose,DamMaterial,DamMaterialCat,dam_height_m,HtCategory,number_removed_project,project_identifier,multi_dam_flag,DR_Cost,RemovalReason,SedimentManagement,ContaminatedSediment,MitigationDrivers,PostRemovalDrivers,TOTAL_DRIVERS,SD_score,MD_score,PR_score,Tot_Drivers,CostEst_StAdj
161,MA,901d681a-dfd5-4a46-b919-168b2a09108d,Upper Cook's Canyon Dam,Galloway Brook,New England Region,Northeast,42.41451,-72.1066,2,4.5756,0.091265198,NA,2006,NA,unknown,earth,1,2.9,less than 5,1,NA,0,65167,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,61165.51754
162,MA,5f921535-7bc5-438e-ad39-21f06c0b431c,Ballou Dam,Yokum Brook,New England Region,Northeast,42.331868,-73.083379,2,21.267,0.545382473,13.5,2006,NA,"power, water supply",concrete,3,3,less than 5,1,NA,0,608419,Restoration,NA,0,NA,NA,1,0,0,0,0,571059.9386
163,MA,bde63da4-43c6-42f8-be23-b70a54a78835,West Brittania Dam,Mill River,New England Region,Northeast,41.91903,-71.101489,4,110.3085,2.082477562,23,2018,1824,"flood control, power","concrete, earth, masonry",2,2.4,less than 5,1,NA,0,684118,"Safety,Restoration",Sed removal,NA,"CofferDam,BankProtection","Revegetation,StrucRemovalSafety",5,1,2,2,5,642110.7544
164,MA,07f1e939-d889-42fd-9e66-a7df8871307a,Eel River Headwaters Restoration,Eel River,New England Region,Northeast,NA,NA,NA,NA,NA,NA,2009,NA,water supply,earth,1,2.4,less than 5,1,NA,0,2474958,Restoration,NA,NA,NA,NA,0,0,0,0,0,2322986.895
165,MA,d48ca527-4f96-4102-a82f-34eca875112b,Lower Dam,Ox Pasture Brook,New England Region,Northeast,42.74002,-70.8881,1,5.6052,0.103214907,8,2009,NA,recreation and resource management,"concrete, earth",2,2.4,less than 5,1,NA,0,178091,Restoration,NA,NA,NA,NA,0,0,0,0,0,167155.5877
166,MA,7f59c0d5-30e1-4462-8b90-b3496d7150c0,Timber Dam,Amethyst Brook,New England Region,Northeast,42.379351,-72.471042,2,24.7239,0.48829571,44.7,2016,NA,power,wood,1,1.5,less than 5,1,NA,0,45268,Restoration,NA,NA,NA,NA,0,0,0,0,0,42488.38596
167,MA,05c414d9-30a7-4dd1-862f-916978069e19,Pelham Dam,Amethyst Brook,New England Region,Northeast,42.379222,-72.472102,2,24.7239,0.48829571,29.5,2012,1820,"power, recreation and resource management",masonry,3,5.8,between 5 and 10,1,NA,0,452747,"Safety,Restoration",ErosionControl,NA,NA,NA,1,1,0,0,1,424946.7456
168,MA,4009ca50-dcc9-4212-9f31-bc015707bc91,Bartlett Pond Dam,Wekepeke Brook,New England Region,Northeast,42.48835,-71.7141,3,30.6207,0.612068648,6.5,2014,NA,power,concrete,3,4,less than 5,1,NA,0,377833,"Safety,Restoration,Economic",NA,NA,NA,NA,0,0,0,0,0,354632.7281
169,MA,eedee287-4566-440f-9a44-19f2f2e02354,Barstowe’s Pond Dam ,Cotley River,New England Region,Northeast,41.882286,-71.048481,2,19.0278,0.354895043,21.5,2018,NA,recreation and resource management,"earth, wood",1,2.6,less than 5,1,NA,0,813393,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,763447.8158
170,MA,4cc6a289-aeaa-4aab-99f5-a7d97208abe8,Middle Bog Dam,Coonamessett River,New England Region,Northeast,41.585331,-70.572594,1,45.2772,0.802641028,91.4,2020,NA,water supply,"concrete, earth",2,1.8,less than 5,1,CR002,0,281000,Restoration,Sed removal,NA,RiverHabFeature,"ReshapeTopography,Revegetation,Public.Interpr.Facility",5,1,1,3,5,263745.614
171,MA,24c104a1-ed37-4e0f-839b-e72a44531f2c,Silk Mill Dam,Yokum Brook,New England Region,Northeast,42.328315,-73.083637,2,21.267,0.545382473,14,2003,NA,power,concrete,3,4.6,less than 5,1,NA,0,564113,Restoration,NA,NA,NA,NA,0,0,0,0,0,529474.4825
172,MA,cd7ebd33-239b-4948-ab2a-3fe53253fe49,Marland Place Dam,Shawsheen,New England Region,Northeast,42.662316,-71.146805,4,169.2783,2.914199992,26.5,2017,1852,power,"concrete, masonry",3,3.7,less than 5,1,NA,0,637022,Restoration,NA,NA,NA,NA,0,0,0,0,0,597906.614
173,MA,9f791cf6-6563-4322-9cd1-c8fcda86c26e,Roberts Meadow Upper Reservoir Dam,Roberts Meadow Brook,New England Region,Northeast,42.33796,-72.727938,2,25.6428,0.559002877,NA,2018,1883,water supply,"earth, masonry",2,9.1,between 5 and 10,1,NA,0,894616,"Safety,Restoration",ChannelExcavation,0,NA,Revegetation,3,1,0,1,2,839683.4386
174,MA,23bc0480-c87d-4288-ab21-09fb5788d702,Hamant Brook Middle Pond Dam,Hamant Brook,New England Region,Northeast,42.094959,-72.094636,2,9.9864,0.21401873,5.5,2017,NA,unknown,"concrete, earth",2,4,less than 5,3,HB001,1,574503,Restoration,ChannelExcavation,NA,NA,Revegetation,2,1,0,1,2,539226.5
175,MA,279b584f-8226-4704-9485-4e10b82bfc0e,Hall Brook Dam,Hoxie Brook,Mid Atlantic Region,Northeast,42.62432,-73.1241,NA,NA,NA,41.1,2009,1886,unknown,masonry,3,7.3,between 5 and 10,1,NA,0,377757,"Restoration,Economic",NA,NA,NA,"ReshapeTopography,Revegetation",2,0,0,2,2,354561.3947
176,MA,17bf0fbd-eb26-4804-aa65-e6222724a208,Wapping Road Dam ,Jones River,New England Region,Northeast,41.992862,-70.748398,3,58.275,1.119704764,13.5,2011,NA,power,concrete,3,2,less than 5,1,NA,0,635799,"Safety,Restoration",Sed removal,NA,RiverHabFeature,"ReshapeTopography,Revegetation",4,1,1,2,4,596758.7105
177,MA,327f5d44-d419-4b7c-8e35-47ea717dc74c,Lower Flume Dam,Red Brook,New England Region,Northeast,41.765246,-70.634066,NA,NA,NA,NA,2009,NA,unknown,concrete,3,NA,less than 5,2,RB001,0,136774,Restoration,NA,NA,NA,NA,0,0,0,0,0,128375.5965
178,MA,9014659f-ed2b-4800-9a6e-269a0ef65ff7,West Beaver Dam Brook - Upper Berm,West Beaver Dam Brook,New England Region,Northeast,41.915337,-70.571108,NA,NA,NA,16.8,2020,1984,water supply,earth,1,0.9,less than 5,1,NA,0,15000,Restoration,NA,NA,NA,"ReshapeTopography,Revegetation",2,0,0,2,2,14078.94737
179,MA,b13514ce-cd49-4941-81aa-19ff33821a26,Hopewell Mills Dam,Mill River,New England Region,Northeast,41.915155,-71.096862,4,114.408,2.15856493,NA,2012,1818,power,"concrete, masonry",3,2.4,less than 5,1,NA,0,1476275,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,1385626.535
180,MA,4d4fb0ef-d0f1-47f1-a9ea-15487da684c8,Elm Street Dam,Jones River,New England Region,Northeast,41.99,-70.73,3,58.275,1.119704764,NA,2019,1920,power,concrete,3,2.7,less than 5,1,NA,0,856142,"Restoration,Economic","ErosionControl,Sed removal",0,"CofferDam,BankProtection","EcologicalMonitoring,StrucRemovalSafety",7,2,2,2,6,803571.8772
181,MA,1ef2891c-eb9e-453a-b1ff-76cbda440d78,West Beaver Dam Brook - Lower Berm,West Beaver Dam Brook,New England Region,Northeast,41.916298,-70.569944,NA,NA,NA,59.1,2020,1984,water supply,earth,1,1.5,less than 5,1,NA,0,35000,Restoration,NA,NA,NA,"ReshapeTopography,Revegetation",2,0,0,2,2,32850.87719
182,MA,a6221c61-2a11-4bb2-bf11-dc65efd327e0,Phillipston Reservoir Dam #1,Thousand Acre Brook,New England Region,Northeast,42.57892,-72.1752,1,1.5732,0.030072492,7.7,2012,NA,water supply,earth,1,4.6,less than 5,2,TAB001,0,65754,"Safety,Restoration,Economic",NA,NA,NA,NA,0,0,0,0,0,61716.47368
183,MA,14ccf270-f706-4783-a2c7-c95cabed4f32,Wellingsly Dam #2,Wellingsly Brook,New England Region,Northeast,41.94896,-70.6534,1,4.8816,0.095994111,NA,2012,NA,unknown,concrete,3,1.5,less than 5,3,WB001,1,36166,Restoration,NA,NA,NA,NA,0,0,0,0,0,33945.2807
184,MA,1e42571d-7ef5-41be-8ae2-8438cb8bc753,Old Berkshire Mill Dam,Housatonic River,New England Region,Northeast,42.47055,-73.1691,3,149.8707,3.472579898,36.5,2000,1915,water supply,unknown,,4.6,less than 5,1,NA,0,910069,Restoration,NA,NA,NA,"StrucRemovalSafety,Utility.Relocation",2,0,0,2,2,854187.5702
